"Exporter","Importer","Year","App.","Taxon","Class","Order","Family","Genus","Origin","Importer.reported.quantity","Exporter.reported.quantity","Term","Unit","Purpose","Source","id","importer_country","importer_iso3","importer_code","importer_lat","importer_long","exporter_country","exporter_iso3","exporter_code","exporter_lat","exporter_long"
"CH","HU",2013,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,1,"trophies","","T","O",7252,"Hungary","HUN",348,47,20,"Switzerland","CHE",756,47,8
"CH","CA",1994,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",1,NA,"carvings","","P","O",1573,"Canada","CAN",124,60,-95,"Switzerland","CHE",756,47,8
"CH","GB",2002,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,174,"ivory carvings","","","O",3822,"United Kingdom","GBR",826,54,-2,"Switzerland","CHE",756,47,8
"CH","CA",1999,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,24,"ivory carvings","","","O",2812,"Canada","CAN",124,60,-95,"Switzerland","CHE",756,47,8
"CH","DE",1994,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"",NA,1,"ivory carvings","sets","","O",1608,"Germany","DEU",276,51,9,"Switzerland","CHE",756,47,8
"CH","IT",2010,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,22,"ivory carvings","","T","O",6092,"Italy","ITA",380,42.8333,12.8333,"Switzerland","CHE",756,47,8
"CH","US",1988,"II","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,4,"ivory carvings","","","",741,"United States","USA",840,38,-97,"Switzerland","CHE",756,47,8
"CH","JP",2001,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,3,"ivory carvings","","","O",3569,"Japan","JPN",392,36,138,"Switzerland","CHE",756,47,8
"CH","IT",2013,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",7,NA,"ivory pieces","","Q","O",7260,"Italy","ITA",380,42.8333,12.8333,"Switzerland","CHE",756,47,8
"CH","DE",1999,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,32,"ivory carvings","","","U",2861,"Germany","DEU",276,51,9,"Switzerland","CHE",756,47,8
"CH","NL",2013,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"",7,NA,"carvings","","T","O",7315,"Netherlands","NLD",528,52.5,5.75,"Switzerland","CHE",756,47,8
"CH","FR",2000,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,2,"ivory pieces","","","O",3200,"France","FRA",250,46,2,"Switzerland","CHE",756,47,8
"CH","GB",1998,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,4,"tusks","","","U",2590,"United Kingdom","GBR",826,54,-2,"Switzerland","CHE",756,47,8
"CH","CN",2004,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,14,"ivory carvings","","","O",4352,"China","CHN",156,35,105,"Switzerland","CHE",756,47,8
"CH","DE",2014,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",56,59,"ivory carvings","","T","O",7590,"Germany","DEU",276,51,9,"Switzerland","CHE",756,47,8
