state,abb,year,pop
New Hampshire,NH,2013,1322687
New Jersey,NJ,2013,8899162
New Mexico,NM,2013,2085193
New York,NY,2013,19673546
North Carolina,NC,2013,9841590
North Dakota,ND,2013,724019
Ohio,OH,2013,11570022
Oklahoma,OK,2013,3852415
Oregon,OR,2013,3925751
Pennsylvania,PA,2013,12781338
Rhode Island,RI,2013,1053033
South Carolina,SC,2013,4767894
South Dakota,SD,2013,844922
Tennessee,TN,2013,6494821
Texas,TX,2013,26473525
Utah,UT,2013,2902663
Vermont,VT,2013,627140
Virginia,VA,2013,8262692
Washington,WA,2013,6968006
West Virginia,WV,2013,1853231
Wisconsin,WI,2013,5742854
Wyoming,WY,2013,582684
Alabama,AL,2014,4843214
Alaska,AK,2014,736705
Arizona,AZ,2014,6719993
Arkansas,AR,2014,2966912
California,CA,2014,38680810
Colorado,CO,2014,5349648
Connecticut,CT,2014,3591873
Delaware,DE,2014,934948
District of Columbia,DC,2014,659005
Florida,FL,2014,19888741
Georgia,GA,2014,10087231
Hawaii,HI,2014,1416349
Idaho,ID,2014,1633532
Illinois,IL,2014,12867544
Indiana,IN,2014,6595233
Iowa,IA,2014,3108030
Kansas,KS,2014,2899360
Kentucky,KY,2014,4413057
Louisiana,LA,2014,4647880
Maine,ME,2014,1330719
Maryland,MD,2014,5967295
Massachusetts,MA,2014,6749911
Michigan,MI,2014,9915767
Minnesota,MN,2014,5453109
Mississippi,MS,2014,2992400
Missouri,MO,2014,6060930
Montana,MT,2014,1022867
Nebraska,NE,2014,1881145
Nevada,NV,2014,2833013
New Hampshire,NH,2014,1328743
New Jersey,NJ,2014,8925001
New Mexico,NM,2014,2083024
New York,NY,2014,19718515
North Carolina,NC,2014,9934399
North Dakota,ND,2014,739904
Ohio,OH,2014,11594408
Oklahoma,OK,2014,3877499
Oregon,OR,2014,3968371
Pennsylvania,PA,2014,12790565
Rhode Island,RI,2014,1054480
South Carolina,SC,2014,4828430
South Dakota,SD,2014,852561
Tennessee,TN,2014,6544663
Texas,TX,2014,26944751
Utah,UT,2014,2941836
Vermont,VT,2014,626984
Virginia,VA,2014,8317372
Washington,WA,2014,7054196
West Virginia,WV,2014,1848514
Wisconsin,WI,2014,5758377
Wyoming,WY,2014,583642
Alabama,AL,2015,4853875
Alaska,AK,2015,737709
Arizona,AZ,2015,6817565
Arkansas,AR,2015,2977853
California,CA,2015,38993940
Colorado,CO,2015,5448819
Connecticut,CT,2015,3584730
Delaware,DE,2015,944076
District of Columbia,DC,2015,670377
